name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,nf2Genotype,modifiedBy,diagnosis,studyName,platform,transplantationType,accessType,genePerturbationType,modelSystemName,assay,species,fundingAgency,isCellLine,initiative,organ,tissue,isPrimaryCell,isMultiIndividual,isMultiSpecimen,genePerturbationTechnology,genePerturbed,transplantationRecipientTissue
NF1-P53T_R1.fastq.gz,raw,genomicVariants,fastq,NF1-P53,experimentalData,NF1-P53T,syn4939910,Malignant Peripheral Nerve Sheath Tumor,+/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,,PUBLIC,,NF1-P53,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,primary tumor,True,No,No,,,
NF1-P53T_R2.fastq.gz,raw,genomicVariants,fastq,NF1-P53,experimentalData,NF1-P53T,syn4939910,Malignant Peripheral Nerve Sheath Tumor,+/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,,PUBLIC,,NF1-P53,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,primary tumor,True,No,No,,,
NF1-METblood_R1.fastq.gz,raw,genomicVariants,fastq,NF1-MET,experimentalData,NF1-METblood,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,,PUBLIC,knockout,NF1-MET,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,blood,blood,True,No,No,CRE Recombinase,"NF1,MET",
NF1-METblood_R2.fastq.gz,raw,genomicVariants,fastq,NF1-MET,experimentalData,NF1-METblood,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,,PUBLIC,knockout,NF1-MET,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,blood,blood,True,No,No,CRE Recombinase,"NF1,MET",
NF1-METtcells_R1.fastq.gz,raw,genomicVariants,fastq,NF1-MET,experimentalData,NF1-METtcells,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,,PUBLIC,knockout,NF1-MET,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,,True,No,No,CRE Recombinase,"NF1,MET",
NF1-METtcells_R2.fastq.gz,raw,genomicVariants,fastq,NF1-MET,experimentalData,NF1-METtcells,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,,PUBLIC,knockout,NF1-MET,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,,True,No,No,CRE Recombinase,"NF1,MET",
NF1-METtg_R1.fastq.gz,raw,genomicVariants,fastq,NF1-MET,experimentalData,NF1-METtg,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,allograft,PUBLIC,knockout,NF1-MET,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,primary tumor,True,No,No,CRE Recombinase,"NF1,MET",skin
NF1-METtg_R2.fastq.gz,raw,genomicVariants,fastq,NF1-MET,experimentalData,NF1-METtg,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,allograft,PUBLIC,knockout,NF1-MET,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,primary tumor,True,No,No,CRE Recombinase,"NF1,MET",skin
NF1-P53tg_R1.fastq.gz,raw,genomicVariants,fastq,NF1-P53,experimentalData,NF1-P53tg,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,allograft,PUBLIC,,NF1-P53,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,primary tumor,True,No,No,,,skin
NF1-P53tg_R2.fastq.gz,raw,genomicVariants,fastq,NF1-P53,experimentalData,NF1-P53tg,syn4939910,Malignant Peripheral Nerve Sheath Tumor,-/-,+/+,3421893,Neurofibromatosis type 1,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,Illumina HiSeq 2500,allograft,PUBLIC,,NF1-P53,whole exome sequencing,Mus musculus,NTAP,No,Francis S. Collins Scholars Program,skin,primary tumor,True,No,No,,,skin
